,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,95.0
Apple___Black_rot,1.0,1.0,1.0,93.0
Apple___healthy,1.0,1.0,1.0,247.0
Banana___Cordana,0.9807692307692307,1.0,0.9902912621359223,51.0
Banana___Healthy,0.9415584415584416,0.9666666666666667,0.9539473684210527,150.0
Banana___Panama,0.9615384615384616,1.0,0.9803921568627451,125.0
Banana___Yellow_and_Black_Sigatoka,0.9945652173913043,0.976,0.9851951547779273,375.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8152173913043478,0.974025974025974,0.8875739644970414,77.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,179.0
Corn_(maize)___Northern_Leaf_Blight,0.9849624060150376,0.8851351351351351,0.9323843416370107,148.0
Corn_(maize)___healthy,1.0,0.9885057471264368,0.9942196531791907,174.0
Cotton___diseased_leaf,0.9333333333333333,0.9767441860465116,0.9545454545454546,43.0
Cotton___diseased_plant,0.9915254237288136,0.9590163934426229,0.975,122.0
Cotton___fresh_leaf,0.9836065573770492,0.9375,0.96,64.0
Cotton___fresh_plant,0.9264705882352942,1.0,0.9618320610687023,63.0
Grape___Black_rot,1.0,0.9887005649717514,0.9943181818181818,177.0
Grape___Esca_(Black_Measles),0.9952153110047847,1.0,0.9976019184652278,208.0
Grape___healthy,0.9846153846153847,1.0,0.9922480620155039,64.0
Mango___Anthracnose,1.0,1.0,1.0,75.0
Mango___Bacterial_Canker,1.0,1.0,1.0,75.0
Mango___Cutting_Weevil,1.0,1.0,1.0,75.0
Mango___Die_Back,1.0,1.0,1.0,75.0
Mango___Gall_Midge,1.0,1.0,1.0,75.0
Mango___Healthy,1.0,1.0,1.0,75.0
Mango___Powdery_Mildew,1.0,1.0,1.0,75.0
Mango___Sooty_Mould,1.0,1.0,1.0,75.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826.0
Potato___Early_blight,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
Potato___Late_blight,0.9791666666666666,0.94,0.9591836734693877,150.0
Potato___healthy,0.7666666666666667,1.0,0.8679245283018868,23.0
Rice___Bacterial_Leaf_Blight,0.9767441860465116,0.8842105263157894,0.9281767955801105,95.0
Rice___Brown_Spot,0.9038461538461539,0.9690721649484536,0.9353233830845771,97.0
Rice___Healthy,0.9797979797979798,0.9897959183673469,0.9847715736040609,98.0
Rice___Leaf_Blast,0.9318181818181818,0.8631578947368421,0.8961748633879781,95.0
Rice___Leaf_scald,0.900990099009901,0.9680851063829787,0.9333333333333333,94.0
Rice___Sheath_Blight,0.968421052631579,0.968421052631579,0.968421052631579,95.0
Tomato___Early_blight,0.9857142857142858,0.92,0.9517241379310345,150.0
Tomato___Late_blight,0.9656357388316151,0.9825174825174825,0.9740034662045061,286.0
Tomato___healthy,0.9835390946502057,1.0,0.991701244813278,239.0
coffee___healthy,0.9310344827586207,0.907563025210084,0.9191489361702128,119.0
coffee___red_spider_mite,0.6363636363636364,0.28,0.3888888888888889,25.0
coffee___rust,0.7383177570093458,0.8777777777777778,0.8020304568527918,90.0
accuracy,0.973975734130473,0.973975734130473,0.973975734130473,0.973975734130473
macro avg,0.9555896919527657,0.9570530702294469,0.9536592677859742,5687.0
weighted avg,0.9748277148416683,0.973975734130473,0.9735711556364599,5687.0
